"action","role","level","current layer","domain","lifecycle","findings","proposal families","contract","review"
"createTextMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:561","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editTextMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:588","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"layoutLabels","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:606","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"removeLabelLayout","mark·스타일·라벨 배치","H3","user-facing","marks","Assignment","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:641","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editPointMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:79","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editTickMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:142","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"jitterPoints","mark·스타일·라벨 배치","H3","user-facing","marks","Assignment","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:162","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"removeJitter","mark·스타일·라벨 배치","H3","user-facing","marks","Assignment","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:199","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"removeMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:216","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"createLineMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:239","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editLineMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:294","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"createBarMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:321","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editBarMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:346","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"createAreaMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:371","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"createRuleMark","mark·스타일·라벨 배치","H2","user-facing","marks","Immutable create-only","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:486","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editAreaMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:409","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"encodeX","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:79","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeY","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:163","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeX2","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:384","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeColor","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:915","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeStrokeDash","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:995","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeStroke","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:424","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeStrokeWidth","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:443","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeSize","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1038","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeShape","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1070","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeAngle","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1095","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeOpacity","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1127","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeRadius","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1156","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeTheta","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1189","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeR","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1227","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodePointRadius","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1250","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"removePointRadius","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1267","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeXOffset","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:290","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeYOffset","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:333","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeY2","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:356","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeYRange","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:480","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeXRange","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:510","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeGroup","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:533","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodePathOrder","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:561","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeParallelCoordinates","복합 semantic assignment","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:592","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"removePathOrder","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:627","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"orderCategories","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:647","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"removeCategoryOrder","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:688","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"removeEncoding","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:44","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeText","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1327","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeHistogram","복합 semantic assignment","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:708","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeDensity","복합 semantic assignment","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:747","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"editDensity","복합 semantic assignment","H2–H3","user-facing","encodings","Mutable resource","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:803","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeHorizon","복합 semantic assignment","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:845","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"editHorizon","복합 semantic assignment","H2–H3","user-facing","encodings","Mutable resource","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:889","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"encodeBarWidth","encoding·ordering·해제","H2–H3","user-facing","encodings","Assignment","B01 D01 D02 D03 D06 D09 D11 D13 D14 D16","F01 F02 F03 F04 F05 F06 F07 F08 F13 F15 F16","agent_docs/contract/current/ENCODINGS.md:1287","field/constant, final grain, inference/default, 재할당·제거와 wrapper 조합 경로 대조."
"createRegression","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:233","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editRegression","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:281","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"createErrorBar","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:36","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editErrorBar","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:96","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"createErrorBand","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:123","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editErrorBand","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:190","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editErrorBandBoundary","통계 layer·복합 mark·구성요소","H2–H3","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:214","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"createBoxPlot","통계 layer·복합 mark·구성요소","H0/H1 혼합","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/COMPOSITE_MARKS.md:3","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editBoxPlot","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/COMPOSITE_MARKS.md:80","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"createGradientPlot","통계 layer·복합 mark·구성요소","H0/H1 혼합","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/GRADIENT_PLOTS.md:18","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editGradientPlot","통계 layer·복합 mark·구성요소","H1–H2","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/GRADIENT_PLOTS.md:82","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"createViolinPlot","완성 차트 facade","H0","user-facing","statistics","Aggregate create-only","D04 D06 D16","F06 F12 F16","agent_docs/contract/current/VIOLIN_PLOTS.md:3","density/area/guide 분해는 유지. source/role/orientation 편집 빈틈 검토."
"createAxes","축 집합·축·구성요소","H1","user-facing","axes","Aggregate create-only","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:143","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createXAxis","축 집합·축·구성요소","H2","user-facing","axes","Aggregate create-only","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:378","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createYAxis","축 집합·축·구성요소","H2","user-facing","axes","Aggregate create-only","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:402","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createXAxisLine","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:424","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createYAxisLine","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:443","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editXAxisLine","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:460","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editYAxisLine","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:478","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createXAxisTicks","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:493","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createYAxisTicks","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:513","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editXAxisTicks","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:532","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editYAxisTicks","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:549","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createXAxisLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:567","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createYAxisLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:591","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editXAxisLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:609","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editYAxisLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:626","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createXAxisTicksAndLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:644","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createYAxisTicksAndLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:665","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editXAxisTicksAndLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:683","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editYAxisTicksAndLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:702","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createXAxisTitle","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:719","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createYAxisTitle","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:740","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editXAxisTitle","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:757","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editYAxisTitle","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:774","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editXAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:793","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editYAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:824","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"removeXAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:842","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"removeYAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:859","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
